station,history_days,pred_len,model,MAE,RMSE,NMAE,NRMSE,R2
station05,1,96,MultiStep,2.1562936305999756,3.8187853173153963,0.07282315387207869,0.12896944405939528,0.8221555948257446
station05,1,96,Iterative,2.083742618560791,3.8127156181023367,0.07037293399556098,0.12876445591052854,0.822720468044281
station05,2,1,MultiStep,1.0111795663833618,2.290696430003315,0.034149933993242024,0.07736225541320978,0.936309278011322
station05,2,1,Iterative,0.9629889130592346,2.2886589658040735,0.03252242124988598,0.07729344541127654,0.9364225268363953
station05,2,16,MultiStep,2.1145217418670654,3.794744953737473,0.07141241804391707,0.12815754392152368,0.8243876695632935
station05,2,16,Iterative,2.49157452583313,4.069382222596445,0.0841463854938957,0.13743269634293093,0.7980486750602722
station05,2,96,MultiStep,2.0455236434936523,3.737431891085499,0.0690821884947393,0.1262219457631117,0.8296522498130798
station05,2,96,Iterative,2.172309637069702,3.915346829579525,0.07336405242458083,0.13223055551747379,0.8130479454994202
station05,3,1,MultiStep,0.9545931220054626,2.2696184414054867,0.0322388754585753,0.07665040170961818,0.9378282427787781
station05,3,1,Iterative,0.95965975522995,2.2543583090988935,0.032409987688229086,0.07613503082167371,0.9386614561080933
station05,3,16,MultiStep,2.1728127002716064,3.7948427138070135,0.07338104206293052,0.12816084551110574,0.8253225088119507
station05,3,16,Iterative,2.190518617630005,3.816154104627924,0.07397901291714958,0.12888058176175143,0.8233550786972046
station05,3,96,MultiStep,2.2534098625183105,3.810440007230931,0.0761029995295078,0.12868760313023475,0.8229320049285889
station05,3,96,Iterative,2.0664424896240234,3.6920673081202664,0.06978866757947995,0.12468987612345848,0.833762526512146
station05,5,1,MultiStep,0.9166731834411621,2.122095142119177,0.03095822913021812,0.07166818974590967,0.9448710083961487
station05,5,1,Iterative,0.867964506149292,2.1132779782423263,0.02931322148794061,0.07137041319423448,0.9453281760215759
station05,5,16,MultiStep,2.0985848903656006,3.707076270389821,0.0708741927425676,0.12519676440309963,0.8330463171005249
station05,5,16,Iterative,3.243093252182007,5.006617172816064,0.10952695661371353,0.16908534514064705,0.6954758167266846
station05,5,96,MultiStep,2.07494854927063,3.753589692200331,0.07007593740289335,0.12676763305732888,0.8281762003898621
station05,5,96,Iterative,2.2661571502685547,3.7712174671301053,0.0765335056925434,0.12736296485626208,0.826558530330658
station05,7,1,MultiStep,0.8849130272865295,2.091837450732749,0.029885613274089794,0.07064631569110637,0.9469853043556213
station05,7,1,Iterative,0.9148877859115601,2.077912283888252,0.03089793201799929,0.07017602975535976,0.9476887583732605
station05,7,16,MultiStep,1.88722825050354,3.3794784502408195,0.06373617735907007,0.11413300846266665,0.8613252639770508
station05,7,16,Iterative,3.08516526222229,5.234374453416483,0.1041933535504125,0.17677724908882853,0.6673192977905273
station05,7,96,MultiStep,2.0489487648010254,3.808979597842738,0.06919786297082073,0.12863828163891122,0.8230677247047424
station05,7,96,Iterative,2.2378346920013428,3.8431506426209006,0.07557698905345524,0.12979231892610454,0.8198789358139038
station06,1,1,MultiStep,0.3000338673591614,0.6632582113445715,0.025554370400730837,0.05649077603541367,0.9622942209243774
station06,1,1,Iterative,0.30046704411506653,0.6645284925054245,0.025591264766579667,0.05659896793915848,0.9621496200561523
station06,1,16,MultiStep,0.6093019843101501,1.0994006106119054,0.051895236794461945,0.0936377305323843,0.8963953256607056
station06,1,16,Iterative,0.7503184676170349,1.3868128355103977,0.06390583905996841,0.1181170952034472,0.8351446390151978
station06,1,96,MultiStep,0.7813225388526917,1.283777442274805,0.06654650601953599,0.10934140389132141,0.8580269813537598
station06,1,96,Iterative,0.7235594391822815,1.2974157010515728,0.06162672927078315,0.11050299647908532,0.8549944162368774
station06,2,1,MultiStep,0.2893834710121155,0.6503329093916408,0.025684163123927888,0.05772014715026419,0.9635893702507019
station06,2,1,Iterative,0.29726529121398926,0.6467778902369752,0.026383712255294556,0.057404622246378795,0.9639863967895508
station06,2,16,MultiStep,0.5585262775421143,1.0369025130067906,0.049571870747211054,0.09203004302399213,0.9074008464813232
station06,2,16,Iterative,0.7463178634643555,1.4085345890021754,0.06623926957707038,0.1250141620843023,0.8291298151016235
station06,2,96,MultiStep,0.8047668933868408,1.310948863110951,0.06854329966434985,0.1116556378092205,0.8519535660743713
station06,2,96,Iterative,0.729075014591217,1.3497645596663783,0.06209649976107376,0.11496163354853609,0.8430567979812622
station06,3,1,MultiStep,0.28789427876472473,0.6490282561920854,0.02555199021000472,0.05760435295690429,0.9638072848320007
station06,3,1,Iterative,0.28343331813812256,0.6406814736386228,0.025156058680044346,0.056863536199425725,0.9647321701049805
station06,3,16,MultiStep,0.6600735187530518,1.1471445499652668,0.05858467268411704,0.10181454954902808,0.8869255781173706
station06,3,16,Iterative,0.8198373317718506,1.4982368915709425,0.07276447300416969,0.1329756692281284,0.8071191310882568
station06,3,96,MultiStep,0.8178026080131531,1.3551114185737505,0.06965357259097331,0.11541703418114492,0.841810941696167
station06,3,96,Iterative,0.7247005105018616,1.3437473829376996,0.06172391616308586,0.11444914086147803,0.844452977180481
station06,5,1,MultiStep,0.2936466336250305,0.6588271717275885,0.02606253913687355,0.058474053441770334,0.9627902507781982
station06,5,1,Iterative,0.2946363091468811,0.6449990857657526,0.02615037755920661,0.05724674486642802,0.9643357992172241
station06,5,16,MultiStep,0.5881807208061218,1.0970876721215332,0.052203844009119114,0.09737176291882983,0.8967075943946838
station06,5,16,Iterative,0.7342188954353333,1.3467476255722741,0.06516542846443964,0.11953027441747936,0.8443467617034912
station06,5,96,MultiStep,0.7520678639411926,1.2585610478401283,0.0667496095411783,0.11170329508140474,0.86406409740448
station06,5,96,Iterative,0.6976414322853088,1.3371688789413723,0.06191900417172198,0.11868011497288358,0.8465530872344971
station06,7,1,MultiStep,0.2957777976989746,0.6577855945077421,0.026251690111971027,0.058381608496220615,0.9630149602890015
station06,7,1,Iterative,0.2937684953212738,0.6466545964209147,0.02607335494357434,0.05739367933221444,0.9642560482025146
station06,7,16,MultiStep,0.6272387504577637,1.133339700026487,0.05567043040869265,0.10058930328154474,0.8900476098060608
station06,7,16,Iterative,0.7823314666748047,1.4038983497121373,0.06943564861109912,0.12460267373705693,0.8312841653823853
station06,7,96,MultiStep,0.8998273015022278,1.272206466184848,0.07986396429041198,0.11291439103458495,0.861100435256958
station06,7,96,Iterative,0.6739904880523682,1.2812662356208615,0.059819870079545936,0.11371848877812886,0.8591151237487793
station07,1,1,MultiStep,0.43888989090919495,1.002504669140528,0.025909243063029223,0.059181443187894256,0.9595769047737122
station07,1,1,Iterative,0.4451412856578827,0.9866978924767532,0.026278285297497563,0.058248312516380366,0.9608415365219116
station07,1,16,MultiStep,0.9152670502662659,1.7960153264748993,0.054031493921642415,0.1060252209094321,0.8702080249786377
station07,1,16,Iterative,1.2440284490585327,2.3412569137772588,0.07343945743933634,0.13821278573172482,0.7794404625892639
station07,1,96,MultiStep,1.1828135251998901,2.1738396410367136,0.06982572111459938,0.12832954416651482,0.8107844591140747
station07,1,96,Iterative,1.1299058198928833,2.128048225171889,0.0667023896706542,0.12562631279022538,0.8186720609664917
station07,2,1,MultiStep,0.45924925804138184,1.0158354907890443,0.02711112946452398,0.059968409362042854,0.9585731029510498
station07,2,1,Iterative,0.4663340449333191,1.0030204932419284,0.027529369823746434,0.059211894133103474,0.9596117734909058
station07,2,16,MultiStep,0.9510622024536133,1.8379406977935815,0.0561446100305117,0.10850022582183332,0.8643749952316284
